play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695383,1,Top,Batter_4719300,Pitcher_5216700,Pitch 3 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Cutter', 'velocity': 83, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Fly Out', 'pitch_type': 'Sweeper', 'velocity': 78, 'balls': 1, 'strikes': 1}]",At-bat 4016953830001: Pitch 3 : Ball In Play,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
2,401695383,1,Top,Batter_4686066,Pitcher_5216700,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 0, 'strikes': 1}]",At-bat 4016953830002: Pitch 2 : Ball In Play,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
3,401695383,1,Mid,Batter_40926,Pitcher_5216700,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}]",At-bat 4016953830003: Pitch 5 : Ball In Play,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
4,401695383,1,Bottom,Batter_41326,Pitcher_4414154,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 1}]",At-bat 4016953830101: Pitch 3 : Ball In Play,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
5,401695383,1,Bottom,Batter_42796,Pitcher_4414154,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 91, 'balls': 1, 'strikes': 0}]",At-bat 4016953830102: Pitch 2 : Ball In Play,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
6,401695383,1,End,Batter_5132014,Pitcher_4414154,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 3}]",At-bat 4016953830103: ,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
7,401695383,2,Top,Batter_42598,Pitcher_5216700,Pitch 5 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Fly Out', 'pitch_type': 'Sweeper', 'velocity': 80, 'balls': 1, 'strikes': 2}]",At-bat 4016953830201: Pitch 5 : Ball In Play,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
8,401695383,2,Top,Batter_42410,Pitcher_5216700,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 79, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 3, 'strikes': 2}, {'pitch_number': 8, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 3, 'strikes': 2}, {'pitch_number': 9, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 4, 'strikes': 2}]",At-bat 4016953830202: ,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
9,401695383,2,Top,Batter_35676,Pitcher_5216700,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Hit By Pitch', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 2, 'strikes': 0}]",At-bat 4016953830203: ,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
10,401695383,2,Top,Batter_35383,Pitcher_5216700,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 78, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 83, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 84, 'balls': 4, 'strikes': 1}]",At-bat 4016953830204: ,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
11,401695383,2,Top,Batter_4966637,Pitcher_5216700,Pitch 6 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 78, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Single', 'pitch_type': 'Cutter', 'velocity': 84, 'balls': 2, 'strikes': 2}]",At-bat 4016953830205: Pitch 6 : Ball In Play,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
12,401695383,2,Top,Batter_32721,Pitcher_5216700,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Sweeper', 'velocity': 78, 'balls': 0, 'strikes': 1}]",At-bat 4016953830206: ,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
13,401695383,2,Top,Batter_4719300,Pitcher_5216700,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 84, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 4, 'strikes': 0}]",At-bat 4016953830207: ,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
14,401695383,2,Mid,Batter_4686066,Pitcher_5216700,Pitch 1 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Line Out', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 0, 'strikes': 0}]",At-bat 4016953830208: Pitch 1 : Ball In Play,401695383,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695383,2025-08-06T17:21:09.477946,ATH,MIA
