play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695246,1,Top,Batter_35578,Pitcher_4683356,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 4, 'strikes': 0}]",At-bat 4016952460001: ,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
2,401695246,1,Top,Batter_42178,Pitcher_4683356,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 82, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Splitter', 'velocity': 84, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Splitter', 'velocity': 84, 'balls': 2, 'strikes': 2}]",At-bat 4016952460002: Pitch 5 : Ball In Play,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
3,401695246,1,Top,Batter_42507,Pitcher_4683356,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}]",At-bat 4016952460003: Pitch 5 : Ball In Play,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
4,401695246,1,Mid,Batter_34940,Pitcher_4683356,Pitch 2 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 84, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Pop Out', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 0}]",At-bat 4016952460004: Pitch 2 : Ball In Play,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
5,401695246,1,Bottom,Batter_4918256,Pitcher_38295,Pitch 4 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}]",At-bat 4016952460101: Pitch 4 : Ball In Play,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
6,401695246,1,Bottom,Batter_40538,Pitcher_38295,Pitch 2 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Home Run', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 1, 'strikes': 0}]",At-bat 4016952460102: Pitch 2 : Ball In Play,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
7,401695246,1,Bottom,Batter_40459,Pitcher_38295,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Splitter', 'velocity': 82, 'balls': 0, 'strikes': 1}]",At-bat 4016952460103: Pitch 2 : Ball In Play,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
8,401695246,1,Bottom,Batter_38827,Pitcher_38295,Pitch 6 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 83, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 82, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}]",At-bat 4016952460104: Pitch 6 : Ball In Play,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
9,401695246,1,Bottom,Batter_32517,Pitcher_38295,Pitch 4 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 83, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Pop Out', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 2, 'strikes': 1}]",At-bat 4016952460105: Pitch 4 : Ball In Play,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
10,401695246,1,End,Batter_4719511,Pitcher_38295,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 0, 'strikes': 0}]",At-bat 4016952460106: Pitch 1 : Ball In Play,401695246,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695246,2025-08-06T16:07:08.843701,BAL,WSH
