play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695600,1,Top,Batter_5136929,Pitcher_33950,Pitch 2 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Double', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 0, 'strikes': 1}]",At-bat 4016956000001: Pitch 2 : Ball In Play,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
2,401695600,1,Top,Batter_42453,Pitcher_33950,Pitch 1 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016956000002: Pitch 1 : Ball In Play,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
3,401695600,1,Mid,Batter_36462,Pitcher_33950,Pitch 4 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 2}]",At-bat 4016956000003: Pitch 4 : Ball In Play,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
4,401695600,1,Bottom,Batter_4717833,Pitcher_4620398,Pitch 5 : Ball In Play,Triple,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Triple', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 2}]",At-bat 4016956000101: Pitch 5 : Ball In Play,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
5,401695600,1,Bottom,Batter_34967,Pitcher_4620398,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 1}]",At-bat 4016956000102: Pitch 3 : Ball In Play,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
6,401695600,1,Bottom,Batter_4142424,Pitcher_4620398,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Sacrifice Fly', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 0, 'strikes': 1}]",At-bat 4016956000103: ,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
7,401695600,1,Bottom,Batter_42415,Pitcher_4620398,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 0, 'strikes': 1}]",At-bat 4016956000104: Pitch 2 : Ball In Play,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
8,401695600,1,End,Batter_32797,Pitcher_4620398,Pitch 5 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Fly Out', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 3, 'strikes': 1}]",At-bat 4016956000105: Pitch 5 : Ball In Play,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
9,401695600,2,Top,Batter_39631,Pitcher_33950,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 0}]",At-bat 4016956000201: Pitch 1 : Ball In Play,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
10,401695600,2,Top,Batter_40718,Pitcher_33950,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Splitter', 'velocity': 87, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}]",At-bat 4016956000202: Pitch 4 : Ball In Play,401695600,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695600,2025-08-06T17:03:43.190728,CHW,CHC
