play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695448,1,Top,Batter_36020,Pitcher_33840,Pitch 6 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 82, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Home Run', 'pitch_type': 'Curve', 'velocity': 84, 'balls': 3, 'strikes': 2}]",At-bat 4016954480001: Pitch 6 : Ball In Play,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
2,401695448,1,Top,Batter_4422899,Pitcher_33840,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 93, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 1, 'strikes': 1}]",At-bat 4016954480002: Pitch 3 : Ball In Play,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
3,401695448,1,Top,Batter_4917694,Pitcher_33840,Pitch 7 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 83, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 90, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 2}]",At-bat 4016954480003: Pitch 7 : Ball In Play,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
4,401695448,1,Top,Batter_40423,Pitcher_33840,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Cutter', 'velocity': 92, 'balls': 0, 'strikes': 0}]",At-bat 4016954480004: Pitch 1 : Ball In Play,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
5,401695448,1,Mid,Batter_39924,Pitcher_33840,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 84, 'balls': 0, 'strikes': 3}]",At-bat 4016954480005: ,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
6,401695448,1,Bottom,Batter_33786,Pitcher_39635,Pitch 7 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 100, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 100, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 100, 'balls': 3, 'strikes': 2}]",At-bat 4016954480101: Pitch 7 : Ball In Play,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
7,401695448,1,Bottom,Batter_34982,Pitcher_39635,Pitch 7 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 100, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 99, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 99, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 100, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 2, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 100, 'balls': 2, 'strikes': 2}]",At-bat 4016954480102: Pitch 7 : Ball In Play,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
8,401695448,1,End,Batter_31668,Pitcher_39635,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 100, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 100, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 100, 'balls': 0, 'strikes': 3}]",At-bat 4016954480103: ,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
9,401695448,2,Top,Batter_4722857,Pitcher_33840,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 1, 'strikes': 2}]",At-bat 4016954480201: Pitch 5 : Ball In Play,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
10,401695448,2,Top,Batter_34975,Pitcher_33840,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 84, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 1, 'strikes': 2}]",At-bat 4016954480202: Pitch 4 : Ball In Play,401695448,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695448,2025-08-06T17:29:33.151411,CIN,ATL
