play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695772,1,Top,Batter_36020,Pitcher_31010,Pitch 4 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Pop Out', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 2, 'strikes': 1}]",At-bat 4016957720001: Pitch 4 : Ball In Play,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
2,401695772,1,Top,Batter_39924,Pitcher_31010,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 0}]",At-bat 4016957720002: Pitch 1 : Ball In Play,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
3,401695772,1,Mid,Batter_4917694,Pitcher_31010,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 83, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 3}]",At-bat 4016957720003: ,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
4,401695772,1,Bottom,Batter_34945,Pitcher_42433,Pitch 1 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Double', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 0}]",At-bat 4016957720101: Pitch 1 : Ball In Play,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
5,401695772,1,Bottom,Batter_34967,Pitcher_42433,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Hit By Pitch', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 1, 'strikes': 1}]",At-bat 4016957720102: ,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
6,401695772,1,Bottom,Batter_4142424,Pitcher_42433,Pitch 4 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Pop Out', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 2, 'strikes': 1}]",At-bat 4016957720103: Pitch 4 : Ball In Play,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
7,401695772,1,End,Batter_32797,Pitcher_42433,Pitch 6 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 3, 'strikes': 2}]",At-bat 4016957720104: Pitch 6 : Ball In Play,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
8,401695772,2,Top,Batter_34975,Pitcher_41516,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Knuckle Curve', 'velocity': 88, 'balls': 0, 'strikes': 3}]",At-bat 4016957720201: ,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
9,401695772,2,Top,Batter_4722857,Pitcher_41516,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Knuckle Curve', 'velocity': 87, 'balls': 2, 'strikes': 3}]",At-bat 4016957720202: ,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
10,401695772,2,Top,Batter_40423,Pitcher_41516,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Knuckle Curve', 'velocity': 86, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 90, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 88, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 4, 'strikes': 2}]",At-bat 4016957720203: ,401695772,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695772,2025-08-06T17:24:19.506841,CIN,CHC
