play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695590,1,Top,Batter_4619460,Pitcher_39910,Pitch 1 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016955900001: Pitch 1 : Ball In Play,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
2,401695590,1,Top,Batter_4905919,Pitcher_39910,Pitch 5 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 91, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Single', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 2, 'strikes': 2}]",At-bat 4016955900002: Pitch 5 : Ball In Play,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
3,401695590,1,Top,Batter_4416591,Pitcher_39910,Pitch 1 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 0}]",At-bat 4016955900003: Pitch 1 : Ball In Play,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
4,401695590,1,Top,Batter_33247,Pitcher_39910,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Knuckle Curve', 'velocity': 81, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Knuckle Curve', 'velocity': 82, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Knuckle Curve', 'velocity': 82, 'balls': 1, 'strikes': 3}]",At-bat 4016955900004: ,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
5,401695590,1,Top,Batter_33287,Pitcher_39910,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 3}]",At-bat 4016955900005: ,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
6,401695590,1,Mid,Batter_36181,Pitcher_39910,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Knuckle Curve', 'velocity': 81, 'balls': 0, 'strikes': 0}]",At-bat 4016955900006: Pitch 1 : Ball In Play,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
7,401695590,1,Bottom,Batter_42404,Pitcher_34874,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 82, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 82, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 84, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 4, 'strikes': 2}]",At-bat 4016955900101: ,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
8,401695590,1,Bottom,Batter_32512,Pitcher_34874,Pitch 6 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 2}]",At-bat 4016955900102: Pitch 6 : Ball In Play,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
9,401695590,1,Bottom,Batter_36040,Pitcher_34874,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 3, 'strikes': 2}]",At-bat 4016955900103: ,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
10,401695590,1,Bottom,Batter_40767,Pitcher_34874,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Knuckle Curve', 'velocity': 86, 'balls': 1, 'strikes': 2}]",At-bat 4016955900104: ,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
11,401695590,1,Bottom,Batter_32367,Pitcher_34874,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 0, 'strikes': 1}]",At-bat 4016955900105: Pitch 2 : Ball In Play,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
12,401695590,1,Bottom,Batter_42464,Pitcher_34874,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Batters Fielders Choice - All Runners Safe', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 0}]",At-bat 4016955900106: ,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
13,401695590,1,Bottom,Batter_41215,Pitcher_34874,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Knuckle Curve', 'velocity': 86, 'balls': 0, 'strikes': 1}]",At-bat 4016955900107: ,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
14,401695590,1,End,Batter_4872649,Pitcher_34874,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Knuckle Curve', 'velocity': 84, 'balls': 0, 'strikes': 0}]",At-bat 4016955900108: Pitch 1 : Ball In Play,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
15,401695590,2,Top,Batter_40958,Pitcher_39910,Pitch 7 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 80, 'balls': 2, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ground Out', 'pitch_type': 'Knuckle Curve', 'velocity': 80, 'balls': 2, 'strikes': 2}]",At-bat 4016955900201: Pitch 7 : Ball In Play,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
16,401695590,2,Top,Batter_36497,Pitcher_39910,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Knuckle Curve', 'velocity': 82, 'balls': 0, 'strikes': 3}]",At-bat 4016955900202: ,401695590,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695590,2025-08-06T17:02:38.224776,COL,ARI
