play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695149,1,Top,Batter_31662,Pitcher_32082,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 0}]",At-bat 4016951490001: Pitch 1 : Ball In Play,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
2,401695149,1,Top,Batter_39706,Pitcher_32082,Pitch 6 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Fly Out', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 2, 'strikes': 2}]",At-bat 4016951490002: Pitch 6 : Ball In Play,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
3,401695149,1,Mid,Batter_36018,Pitcher_32082,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 3, 'strikes': 2}, {'pitch_number': 8, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 3, 'strikes': 3}]",At-bat 4016951490003: ,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
4,401695149,1,Bottom,Batter_4448736,Pitcher_36581,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 1}]",At-bat 4016951490101: Pitch 2 : Ball In Play,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
5,401695149,1,Bottom,Batter_41313,Pitcher_36581,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 0}]",At-bat 4016951490102: Pitch 2 : Ball In Play,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
6,401695149,1,End,Batter_32532,Pitcher_36581,Pitch 5 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 76, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 77, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 3, 'strikes': 1}]",At-bat 4016951490103: Pitch 5 : Ball In Play,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
7,401695149,2,Top,Batter_32758,Pitcher_32082,Pitch 3 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 0}]",At-bat 4016951490201: Pitch 3 : Ball In Play,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
8,401695149,2,Top,Batter_4781491,Pitcher_32082,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 0, 'strikes': 2}]",At-bat 4016951490202: Pitch 3 : Ball In Play,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
9,401695149,2,Top,Batter_41273,Pitcher_32082,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 2}]",At-bat 4016951490203: ,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
10,401695149,2,Mid,Batter_5080766,Pitcher_32082,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 0, 'strikes': 0}]",At-bat 4016951490204: Pitch 1 : Ball In Play,401695149,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695149,2025-08-06T15:55:54.209671,HOU,STL
