play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695562,1,Top,Batter_41273,Pitcher_32796,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 0, 'strikes': 3}]",At-bat 4016955620001: ,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
2,401695562,1,Top,Batter_31662,Pitcher_32796,Pitch 1 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Pop Out', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 0, 'strikes': 0}]",At-bat 4016955620002: Pitch 1 : Ball In Play,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
3,401695562,1,Mid,Batter_39706,Pitcher_32796,Pitch 7 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 99, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 3, 'strikes': 2}]",At-bat 4016955620003: Pitch 7 : Ball In Play,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
4,401695562,1,Bottom,Batter_42884,Pitcher_4717803,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 0, 'strikes': 3}]",At-bat 4016955620101: ,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
5,401695562,1,Bottom,Batter_4719324,Pitcher_4717803,Pitch 5 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Pop Out', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 2, 'strikes': 2}]",At-bat 4016955620102: Pitch 5 : Ball In Play,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
6,401695562,1,End,Batter_31392,Pitcher_4717803,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Knuckle Curve', 'velocity': 82, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Knuckle Curve', 'velocity': 84, 'balls': 0, 'strikes': 1}]",At-bat 4016955620103: Pitch 2 : Ball In Play,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
7,401695562,2,Top,Batter_32758,Pitcher_32796,Pitch 5 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 91, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Pop Out', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 3, 'strikes': 1}]",At-bat 4016955620201: Pitch 5 : Ball In Play,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
8,401695562,2,Top,Batter_4781491,Pitcher_32796,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 0, 'strikes': 3}]",At-bat 4016955620202: ,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
9,401695562,2,Top,Batter_33229,Pitcher_32796,Pitch 4 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 90, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 2, 'strikes': 1}]",At-bat 4016955620203: Pitch 4 : Ball In Play,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
10,401695562,2,Top,Batter_5137883,Pitcher_32796,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 2, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 91, 'balls': 3, 'strikes': 2}, {'pitch_number': 8, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 91, 'balls': 4, 'strikes': 2}]",At-bat 4016955620204: ,401695562,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695562,2025-08-06T16:59:38.696125,HOU,TEX
