play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695340,1,Top,Batter_41171,Pitcher_42480,Pitch 7 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Single', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 3, 'strikes': 2}]",At-bat 4016953400001: Pitch 7 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
2,401695340,1,Top,Batter_42403,Pitcher_42480,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 0}]",At-bat 4016953400002: Pitch 3 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
3,401695340,1,Top,Batter_4109109,Pitcher_42480,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Splitter', 'velocity': 90, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Splitter', 'velocity': 91, 'balls': 0, 'strikes': 2}]",At-bat 4016953400003: Pitch 3 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
4,401695340,1,Top,Batter_31127,Pitcher_42480,Pitch 2 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Splitter', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}]",At-bat 4016953400004: Pitch 2 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
5,401695340,1,Mid,Batter_4109223,Pitcher_42480,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 0}]",At-bat 4016953400005: Pitch 2 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
6,401695340,1,Bottom,Batter_4679983,Pitcher_33252,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Curve', 'velocity': 82, 'balls': 1, 'strikes': 1}]",At-bat 4016953400101: Pitch 3 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
7,401695340,1,Bottom,Batter_33481,Pitcher_33252,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 0}]",At-bat 4016953400102: Pitch 1 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
8,401695340,1,Bottom,Batter_39961,Pitcher_33252,Pitch 3 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Line Out', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 1, 'strikes': 1}]",At-bat 4016953400103: Pitch 3 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
9,401695340,1,Bottom,Batter_4905921,Pitcher_33252,Pitch 1 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Double', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 0, 'strikes': 0}]",At-bat 4016953400104: Pitch 1 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
10,401695340,1,End,Batter_40810,Pitcher_33252,Pitch 9 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 7, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 2}, {'pitch_number': 8, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 2, 'strikes': 2}, {'pitch_number': 9, 'result': 'Ground Out', 'pitch_type': 'Curve', 'velocity': 83, 'balls': 2, 'strikes': 2}]",At-bat 4016953400105: Pitch 9 : Ball In Play,401695340,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695340,2025-08-06T16:16:16.683216,KC,TB
