play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695817,1,Top,Batter_4666100,Pitcher_32697,Pitch 4 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 0}]",At-bat 4016958170001: Pitch 4 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
2,401695817,1,Top,Batter_4739755,Pitcher_32697,Pitch 1 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 0}]",At-bat 4016958170002: Pitch 1 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
3,401695817,1,Top,Batter_30836,Pitcher_32697,Pitch 5 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 2}]",At-bat 4016958170003: Pitch 5 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
4,401695817,1,Top,Batter_34923,Pitcher_32697,Pitch 3 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Home Run', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 2, 'strikes': 0}]",At-bat 4016958170004: Pitch 3 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
5,401695817,1,Top,Batter_32558,Pitcher_32697,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 0}]",At-bat 4016958170005: Pitch 2 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
6,401695817,1,Top,Batter_42047,Pitcher_32697,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 0}]",At-bat 4016958170006: Pitch 2 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
7,401695817,1,Top,Batter_40854,Pitcher_32697,Pitch 3 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Line Out', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 1, 'strikes': 1}]",At-bat 4016958170007: Pitch 3 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
8,401695817,1,Mid,Batter_32900,Pitcher_32697,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 0, 'strikes': 3}]",At-bat 4016958170008: ,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
9,401695817,1,Bottom,Batter_41610,Pitcher_40973,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 0, 'strikes': 1}]",At-bat 4016958170101: Pitch 2 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
10,401695817,1,Bottom,Batter_33859,Pitcher_40973,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 93, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 4, 'strikes': 1}]",At-bat 4016958170102: ,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
11,401695817,1,Bottom,Batter_4990055,Pitcher_40973,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 2, 'strikes': 1}]",At-bat 4016958170103: Pitch 4 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
12,401695817,1,Bottom,Batter_5012120,Pitcher_40973,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 84, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 1, 'strikes': 2}]",At-bat 4016958170104: Pitch 4 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
13,401695817,1,Bottom,Batter_4872648,Pitcher_40973,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Knuckle Curve', 'velocity': 86, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 92, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 4, 'strikes': 2}]",At-bat 4016958170105: ,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
14,401695817,1,Bottom,Batter_40754,Pitcher_40973,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 0, 'strikes': 0}]",At-bat 4016958170106: Pitch 1 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
15,401695817,1,Bottom,Batter_4987382,Pitcher_40973,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 99, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 99, 'balls': 0, 'strikes': 3}]",At-bat 4016958170107: ,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
16,401695817,1,Bottom,Batter_42987,Pitcher_40973,Pitch 3 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 86, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Double', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 2, 'strikes': 0}]",At-bat 4016958170108: Pitch 3 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
17,401695817,1,Bottom,Batter_5201569,Pitcher_40973,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 3, 'strikes': 1}]",At-bat 4016958170109: Pitch 5 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
18,401695817,1,End,Batter_41610,Pitcher_40973,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Knuckle Curve', 'velocity': 86, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 86, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 3, 'strikes': 1}]",At-bat 4016958170110: Pitch 5 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
19,401695817,2,Top,Batter_35022,Pitcher_32697,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Rule Double', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 1}]",At-bat 4016958170201: ,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
20,401695817,2,Top,Batter_4666100,Pitcher_32697,Pitch 2 : Ball In Play,Triple,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Triple', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 1, 'strikes': 0}]",At-bat 4016958170202: Pitch 2 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
21,401695817,2,Top,Batter_4739755,Pitcher_32697,Pitch 3 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 2, 'strikes': 0}]",At-bat 4016958170203: Pitch 3 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
22,401695817,2,Top,Batter_30836,Pitcher_32697,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 0}]",At-bat 4016958170204: Pitch 1 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
23,401695817,2,Top,Batter_34923,Pitcher_32697,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Sacrifice Fly', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 3, 'strikes': 2}]",At-bat 4016958170205: ,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
24,401695817,2,Top,Batter_32558,Pitcher_32697,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 4, 'strikes': 0}]",At-bat 4016958170206: ,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
25,401695817,2,Mid,Batter_42047,Pitcher_5132025,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 7, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 2, 'strikes': 3}]",At-bat 4016958170207: ,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
26,401695817,2,Bottom,Batter_33859,Pitcher_40973,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 1, 'strikes': 1}]",At-bat 4016958170301: Pitch 3 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
27,401695817,2,Bottom,Batter_4990055,Pitcher_40973,Pitch 6 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 99, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 98, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 86, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 93, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 99, 'balls': 3, 'strikes': 2}]",At-bat 4016958170302: Pitch 6 : Ball In Play,401695817,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695817,2025-08-06T16:37:39.375143,LAA,BOS
