play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401764547,1,Top,Batter_32655,Pitcher_33263,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 0}]",At-bat 4017645470001: Pitch 1 : Ball In Play,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
2,401764547,1,Top,Batter_41205,Pitcher_33263,Pitch 4 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Line Out', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 2, 'strikes': 1}]",At-bat 4017645470002: Pitch 4 : Ball In Play,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
3,401764547,1,Mid,Batter_4629081,Pitcher_33263,Pitch 6 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 2}]",At-bat 4017645470003: Pitch 6 : Ball In Play,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
4,401764547,1,Bottom,Batter_4917919,Pitcher_42450,Pitch 1 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 0}]",At-bat 4017645470101: Pitch 1 : Ball In Play,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
5,401764547,1,Bottom,Batter_4719300,Pitcher_42450,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 1}]",At-bat 4017645470102: Pitch 3 : Ball In Play,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
6,401764547,1,Bottom,Batter_40926,Pitcher_42450,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Splitter', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 80, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Splitter', 'velocity': 89, 'balls': 2, 'strikes': 1}]",At-bat 4017645470103: ,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
7,401764547,1,End,Batter_4686066,Pitcher_42450,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 80, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 1, 'strikes': 1}]",At-bat 4017645470104: Pitch 3 : Ball In Play,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
8,401764547,2,Top,Batter_42427,Pitcher_33263,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 0, 'strikes': 0}]",At-bat 4017645470201: Pitch 1 : Ball In Play,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
9,401764547,2,Top,Batter_32653,Pitcher_33263,Pitch 4 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Double', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 2, 'strikes': 1}]",At-bat 4017645470202: Pitch 4 : Ball In Play,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
10,401764547,2,Top,Batter_34230,Pitcher_33263,Pitch 6 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 93, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 3, 'strikes': 2}]",At-bat 4017645470203: Pitch 6 : Ball In Play,401764547,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401764547,2025-08-06T16:36:11.565342,MIN,ATH
