play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401694919,1,Top,Batter_32129,Pitcher_36581,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 1}]",At-bat 4016949190001: Pitch 2 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
2,401694919,1,Top,Batter_36969,Pitcher_36581,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}]",At-bat 4016949190002: Pitch 2 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
3,401694919,1,Top,Batter_37498,Pitcher_36581,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 90, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 4, 'strikes': 2}]",At-bat 4016949190003: ,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
4,401694919,1,Top,Batter_41034,Pitcher_36581,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 0, 'strikes': 0}]",At-bat 4016949190004: Pitch 1 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
5,401694919,1,Mid,Batter_32159,Pitcher_36581,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 0, 'strikes': 1}]",At-bat 4016949190005: Pitch 2 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
6,401694919,1,Bottom,Batter_31662,Pitcher_32827,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 1, 'strikes': 3}]",At-bat 4016949190101: ,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
7,401694919,1,Bottom,Batter_39706,Pitcher_32827,Pitch 5 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Line Out', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 1, 'strikes': 2}]",At-bat 4016949190102: Pitch 5 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
8,401694919,1,Bottom,Batter_36018,Pitcher_32827,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 91, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 92, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 91, 'balls': 4, 'strikes': 2}]",At-bat 4016949190103: ,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
9,401694919,1,End,Batter_32758,Pitcher_32827,Pitch 1 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016949190104: Pitch 1 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
10,401694919,2,Top,Batter_30830,Pitcher_36581,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Hit By Pitch', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 2, 'strikes': 0}]",At-bat 4016949190201: ,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
11,401694919,2,Top,Batter_32783,Pitcher_36581,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 0}]",At-bat 4016949190202: Pitch 2 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
12,401694919,2,Top,Batter_42411,Pitcher_36581,Pitch 5 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 77, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Fly Out', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 2, 'strikes': 2}]",At-bat 4016949190203: Pitch 5 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
13,401694919,2,Mid,Batter_33805,Pitcher_36581,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 1, 'strikes': 1}]",At-bat 4016949190204: Pitch 3 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
14,401694919,2,Bottom,Batter_4781491,Pitcher_32827,Pitch 4 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Fly Out', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 2}]",At-bat 4016949190301: Pitch 4 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
15,401694919,2,Bottom,Batter_41273,Pitcher_32827,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Hit By Pitch', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 2, 'strikes': 1}]",At-bat 4016949190302: ,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
16,401694919,2,Bottom,Batter_5080766,Pitcher_32827,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016949190303: Pitch 1 : Ball In Play,401694919,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694919,2025-08-06T16:45:50.960657,NYM,HOU
