play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695249,1,Top,Batter_42417,Pitcher_41065,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 90, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 1, 'strikes': 2}]",At-bat 4016952490001: Pitch 4 : Ball In Play,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
2,401695249,1,Top,Batter_33710,Pitcher_41065,Pitch 5 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}]",At-bat 4016952490002: Pitch 5 : Ball In Play,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
3,401695249,1,Top,Batter_30951,Pitcher_41065,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 1}]",At-bat 4016952490003: Pitch 2 : Ball In Play,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
4,401695249,1,Top,Batter_33712,Pitcher_41065,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 91, 'balls': 1, 'strikes': 1}]",At-bat 4016952490004: Pitch 3 : Ball In Play,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
5,401695249,1,Mid,Batter_31187,Pitcher_41065,Pitch 5 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Fly Out', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 2}]",At-bat 4016952490005: Pitch 5 : Ball In Play,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
6,401695249,1,Bottom,Batter_32129,Pitcher_42359,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 2, 'strikes': 1}]",At-bat 4016952490101: Pitch 4 : Ball In Play,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
7,401695249,1,Bottom,Batter_36969,Pitcher_42359,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 2, 'strikes': 2}]",At-bat 4016952490102: ,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
8,401695249,1,Bottom,Batter_37498,Pitcher_42359,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 0, 'strikes': 1}]",At-bat 4016952490103: Pitch 2 : Ball In Play,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
9,401695249,1,Bottom,Batter_41034,Pitcher_42359,Pitch 8 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 3, 'strikes': 2}, {'pitch_number': 8, 'result': 'Double', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 3, 'strikes': 2}]",At-bat 4016952490104: Pitch 8 : Ball In Play,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
10,401695249,1,Bottom,Batter_30830,Pitcher_42359,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 85, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 4, 'strikes': 2}]",At-bat 4016952490105: ,401695249,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695249,2025-08-06T16:07:20.095545,PHI,NYM
