play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695864,1,Top,Batter_33710,Pitcher_32672,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Slow Curve', 'velocity': 75, 'balls': 0, 'strikes': 1}]",At-bat 4016958640001: Pitch 2 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
2,401695864,1,Top,Batter_33712,Pitcher_32672,Pitch 1 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 0}]",At-bat 4016958640002: Pitch 1 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
3,401695864,1,Top,Batter_41169,Pitcher_32672,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 0, 'strikes': 0}]",At-bat 4016958640003: Pitch 1 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
4,401695864,1,Mid,Batter_31187,Pitcher_32672,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Slow Curve', 'velocity': 74, 'balls': 0, 'strikes': 0}]",At-bat 4016958640004: Pitch 1 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
5,401695864,1,Bottom,Batter_4311634,Pitcher_39817,Pitch 3 : Ball In Play,Triple,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Triple', 'pitch_type': 'Sinker', 'velocity': 88, 'balls': 2, 'strikes': 0}]",At-bat 4016958640101: Pitch 3 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
6,401695864,1,Bottom,Batter_28701,Pitcher_39817,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 1, 'strikes': 2}]",At-bat 4016958640102: Pitch 4 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
7,401695864,1,Bottom,Batter_38980,Pitcher_39817,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 79, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 89, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 73, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 79, 'balls': 2, 'strikes': 2}]",At-bat 4016958640103: Pitch 5 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
8,401695864,1,Bottom,Batter_41239,Pitcher_39817,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 74, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 74, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 79, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 2, 'strikes': 2}]",At-bat 4016958640104: Pitch 5 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
9,401695864,1,End,Batter_35020,Pitcher_39817,Pitch 7 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 74, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 89, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 73, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 3, 'strikes': 2}]",At-bat 4016958640105: Pitch 7 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
10,401695864,2,Top,Batter_32177,Pitcher_32672,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slow Curve', 'velocity': 73, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 0, 'strikes': 1}]",At-bat 4016958640201: Pitch 2 : Ball In Play,401695864,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695864,2025-08-06T16:42:13.279651,PHI,PIT
