play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695836,1,Top,Batter_42417,Pitcher_33148,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Cutter', 'velocity': 91, 'balls': 0, 'strikes': 3}]",At-bat 4016958360001: ,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
2,401695836,1,Top,Batter_33710,Pitcher_33148,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 2, 'strikes': 1}]",At-bat 4016958360002: Pitch 4 : Ball In Play,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
3,401695836,1,Mid,Batter_30951,Pitcher_33148,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 70, 'balls': 1, 'strikes': 3}]",At-bat 4016958360003: ,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
4,401695836,1,Bottom,Batter_38904,Pitcher_39667,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 2, 'strikes': 1}]",At-bat 4016958360101: Pitch 4 : Ball In Play,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
5,401695836,1,Bottom,Batter_35002,Pitcher_39667,Pitch 5 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Fly Out', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 2, 'strikes': 2}]",At-bat 4016958360102: Pitch 5 : Ball In Play,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
6,401695836,1,Bottom,Batter_32078,Pitcher_39667,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Sweeper', 'velocity': 86, 'balls': 0, 'strikes': 1}]",At-bat 4016958360103: Pitch 2 : Ball In Play,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
7,401695836,1,End,Batter_42081,Pitcher_39667,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 0, 'strikes': 3}]",At-bat 4016958360104: ,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
8,401695836,2,Top,Batter_33712,Pitcher_33148,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 0}]",At-bat 4016958360201: Pitch 1 : Ball In Play,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
9,401695836,2,Top,Batter_41169,Pitcher_33148,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 70, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 2, 'strikes': 0}]",At-bat 4016958360202: Pitch 3 : Ball In Play,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
10,401695836,2,Top,Batter_31187,Pitcher_33148,Pitch 1 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Double', 'pitch_type': 'Sweeper', 'velocity': 72, 'balls': 0, 'strikes': 0}]",At-bat 4016958360203: Pitch 1 : Ball In Play,401695836,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695836,2025-08-06T16:39:31.763209,PHI,TOR
