play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401694950,1,Top,Batter_33546,Pitcher_4345164,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Slider', 'velocity': 91, 'balls': 0, 'strikes': 1}]",At-bat 4016949500001: Pitch 2 : Ball In Play,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
2,401694950,1,Top,Batter_38980,Pitcher_4345164,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 87, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 93, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 2, 'strikes': 3}]",At-bat 4016949500002: ,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
3,401694950,1,Mid,Batter_31208,Pitcher_4345164,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 0}]",At-bat 4016949500003: Pitch 3 : Ball In Play,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
4,401694950,1,Bottom,Batter_41326,Pitcher_32672,Pitch 3 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 2}]",At-bat 4016949500101: Pitch 3 : Ball In Play,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
5,401694950,1,Bottom,Batter_41917,Pitcher_32672,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 1, 'strikes': 0}]",At-bat 4016949500102: Pitch 2 : Ball In Play,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
6,401694950,1,Bottom,Batter_40048,Pitcher_32672,Pitch 5 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 79, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 3, 'strikes': 1}]",At-bat 4016949500103: Pitch 5 : Ball In Play,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
7,401694950,1,End,Batter_4987650,Pitcher_32672,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 0, 'strikes': 0}]",At-bat 4016949500104: Pitch 1 : Ball In Play,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
8,401694950,2,Top,Batter_28701,Pitcher_4345164,Pitch 4 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 86, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 2}]",At-bat 4016949500201: Pitch 4 : Ball In Play,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
9,401694950,2,Top,Batter_36754,Pitcher_4345164,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 91, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 3, 'strikes': 3}]",At-bat 4016949500202: ,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
10,401694950,2,Top,Batter_4712767,Pitcher_4345164,Pitch 3 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Fly Out', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 1}]",At-bat 4016949500203: Pitch 3 : Ball In Play,401694950,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694950,2025-08-06T16:49:15.635175,PIT,MIA
