play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695567,1,Top,Batter_33572,Pitcher_39817,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 1, 'strikes': 0}]",At-bat 4016955670001: Pitch 2 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
2,401695567,1,Top,Batter_28701,Pitcher_39817,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 3, 'strikes': 3}]",At-bat 4016955670002: ,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
3,401695567,1,Mid,Batter_41168,Pitcher_39817,Pitch 1 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Line Out', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 0, 'strikes': 0}]",At-bat 4016955670003: Pitch 1 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
4,401695567,1,Bottom,Batter_33710,Pitcher_32672,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 0, 'strikes': 1}]",At-bat 4016955670101: Pitch 2 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
5,401695567,1,Bottom,Batter_30951,Pitcher_32672,Pitch 6 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 79, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 79, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Single', 'pitch_type': 'Curve', 'velocity': 77, 'balls': 2, 'strikes': 2}]",At-bat 4016955670102: Pitch 6 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
6,401695567,1,Bottom,Batter_33712,Pitcher_32672,Pitch 7 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 79, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 79, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 79, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 2, 'strikes': 2}, {'pitch_number': 7, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 2, 'strikes': 2}]",At-bat 4016955670103: Pitch 7 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
7,401695567,1,End,Batter_31187,Pitcher_32672,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 75, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 75, 'balls': 0, 'strikes': 3}]",At-bat 4016955670104: ,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
8,401695567,2,Top,Batter_35020,Pitcher_39817,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 80, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 3}]",At-bat 4016955670201: ,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
9,401695567,2,Top,Batter_41239,Pitcher_39817,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 2, 'strikes': 0}]",At-bat 4016955670202: Pitch 3 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
10,401695567,2,Top,Batter_39904,Pitcher_39817,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 72, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 2, 'strikes': 1}]",At-bat 4016955670203: Pitch 4 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
11,401695567,2,Top,Batter_31208,Pitcher_39817,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 74, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Changeup', 'velocity': 79, 'balls': 0, 'strikes': 1}]",At-bat 4016955670204: Pitch 2 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
12,401695567,2,Mid,Batter_42962,Pitcher_39817,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 79, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Curve', 'velocity': 75, 'balls': 1, 'strikes': 0}]",At-bat 4016955670205: Pitch 2 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
13,401695567,2,Bottom,Batter_32177,Pitcher_32672,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 88, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 81, 'balls': 2, 'strikes': 1}]",At-bat 4016955670301: Pitch 4 : Ball In Play,401695567,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695567,2025-08-06T17:00:09.444854,PIT,PHI
