play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695220,1,Top,Batter_35983,Pitcher_42996,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 86, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 2, 'strikes': 3}]",At-bat 4016952200001: ,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
2,401695220,1,Top,Batter_39572,Pitcher_42996,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 75, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 4, 'strikes': 1}]",At-bat 4016952200002: ,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
3,401695220,1,Top,Batter_31097,Pitcher_42996,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 0}]",At-bat 4016952200003: ,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
4,401695220,1,Top,Batter_40700,Pitcher_42996,Pitch 3 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Double', 'pitch_type': 'Sweeper', 'velocity': 86, 'balls': 0, 'strikes': 2}]",At-bat 4016952200004: Pitch 3 : Ball In Play,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
5,401695220,1,Mid,Batter_39400,Pitcher_42996,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 87, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 86, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 2, 'strikes': 1}]",At-bat 4016952200005: Pitch 4 : Ball In Play,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
6,401695220,1,Bottom,Batter_31662,Pitcher_40429,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 0}]",At-bat 4016952200101: Pitch 2 : Ball In Play,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
7,401695220,1,Bottom,Batter_39706,Pitcher_40429,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 1}]",At-bat 4016952200102: Pitch 3 : Ball In Play,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
8,401695220,1,Bottom,Batter_36018,Pitcher_40429,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Rule Double', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}]",At-bat 4016952200103: ,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
9,401695220,1,Bottom,Batter_41273,Pitcher_40429,,Other,"[{'pitch_number': 1, 'result': 'Batters Fielders Choice - Runner Out', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 0}]",At-bat 4016952200104: ,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
10,401695220,1,End,Batter_32758,Pitcher_40429,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 1, 'strikes': 3}]",At-bat 4016952200105: ,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
11,401695220,2,Top,Batter_30382,Pitcher_42996,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}]",At-bat 4016952200201: Pitch 4 : Ball In Play,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
12,401695220,2,Top,Batter_33878,Pitcher_42996,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016952200202: Pitch 1 : Ball In Play,401695220,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695220,2025-08-06T16:02:11.543230,SD,HOU
