play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695116,1,Top,Batter_33341,Pitcher_5132011,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 3, 'strikes': 3}]",At-bat 4016951160001: ,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
2,401695116,1,Top,Batter_33675,Pitcher_5132011,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016951160002: Pitch 1 : Ball In Play,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
3,401695116,1,Top,Batter_5134621,Pitcher_5132011,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 4, 'strikes': 2}]",At-bat 4016951160003: ,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
4,401695116,1,Mid,Batter_33857,Pitcher_5132011,Pitch 3 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 1}]",At-bat 4016951160004: Pitch 3 : Ball In Play,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
5,401695116,1,Bottom,Batter_5016968,Pitcher_37909,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 86, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 2, 'strikes': 1}]",At-bat 4016951160101: Pitch 4 : Ball In Play,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
6,401695116,1,Bottom,Batter_33192,Pitcher_37909,Pitch 5 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 3, 'strikes': 1}]",At-bat 4016951160102: Pitch 5 : Ball In Play,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
7,401695116,1,Bottom,Batter_33912,Pitcher_37909,Pitch 1 : Ball In Play,Triple,"[{'pitch_number': 1, 'result': 'Triple', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 0}]",At-bat 4016951160103: Pitch 1 : Ball In Play,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
8,401695116,1,Bottom,Batter_31027,Pitcher_37909,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Sacrifice Fly', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 1, 'strikes': 0}]",At-bat 4016951160104: ,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
9,401695116,1,End,Batter_41433,Pitcher_37909,Pitch 4 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Splitter', 'velocity': 86, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 2}]",At-bat 4016951160105: Pitch 4 : Ball In Play,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
10,401695116,2,Top,Batter_39642,Pitcher_5132011,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ground Rule Double', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 2}]",At-bat 4016951160201: ,401695116,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695116,2025-08-06T15:52:47.951158,SF,NYY
