play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401696611,1,Top,Batter_39642,Pitcher_4918155,Pitch 3 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 1}]",At-bat 4016966110001: Pitch 3 : Ball In Play,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
2,401696611,1,Top,Batter_33859,Pitcher_4918155,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 0, 'strikes': 1}]",At-bat 4016966110002: Pitch 2 : Ball In Play,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
3,401696611,1,Mid,Batter_33675,Pitcher_4918155,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 91, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 2, 'strikes': 3}]",At-bat 4016966110003: ,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
4,401696611,1,Bottom,Batter_4228472,Pitcher_41216,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 2, 'strikes': 1}]",At-bat 4016966110101: Pitch 4 : Ball In Play,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
5,401696611,1,Bottom,Batter_31208,Pitcher_41216,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 0, 'strikes': 3}]",At-bat 4016966110102: ,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
6,401696611,1,Bottom,Batter_38980,Pitcher_41216,Pitch 6 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Double', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 2, 'strikes': 2}]",At-bat 4016966110103: Pitch 6 : Ball In Play,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
7,401696611,1,End,Batter_39712,Pitcher_41216,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 1, 'strikes': 0}]",At-bat 4016966110104: Pitch 2 : Ball In Play,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
8,401696611,2,Top,Batter_33857,Pitcher_4918155,Pitch 4 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}]",At-bat 4016966110201: Pitch 4 : Ball In Play,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
9,401696611,2,Top,Batter_33218,Pitcher_4918155,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 1, 'strikes': 3}]",At-bat 4016966110202: ,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
10,401696611,2,Mid,Batter_42623,Pitcher_4918155,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 3}]",At-bat 4016966110203: ,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
11,401696611,2,Bottom,Batter_4311634,Pitcher_41216,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 3}]",At-bat 4016966110301: ,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
12,401696611,2,Bottom,Batter_36754,Pitcher_41216,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 1, 'strikes': 3}]",At-bat 4016966110302: ,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
13,401696611,2,End,Batter_4418683,Pitcher_41216,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 2, 'strikes': 3}]",At-bat 4016966110303: ,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
14,401696611,3,Top,Batter_5134621,Pitcher_4918155,Pitch 6 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 2, 'strikes': 2}]",At-bat 4016966110401: Pitch 6 : Ball In Play,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
15,401696611,3,Top,Batter_4345843,Pitcher_4918155,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 4, 'strikes': 1}]",At-bat 4016966110402: ,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
16,401696611,3,Top,Batter_4109031,Pitcher_4918155,Pitch 1 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016966110403: Pitch 1 : Ball In Play,401696611,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696611,2025-08-06T16:31:46.414228,SF,PIT
