play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695282,1,Top,Batter_33481,Pitcher_39878,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 94, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 95, 'balls': 2, 'strikes': 3}]",At-bat 4016952820001: ,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
2,401695282,1,Top,Batter_39961,Pitcher_39878,Pitch 1 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Line Out', 'pitch_type': 'Cutter', 'velocity': 94, 'balls': 0, 'strikes': 0}]",At-bat 4016952820002: Pitch 1 : Ball In Play,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
3,401695282,1,Mid,Batter_40810,Pitcher_39878,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Cutter', 'velocity': 95, 'balls': 1, 'strikes': 0}]",At-bat 4016952820003: Pitch 2 : Ball In Play,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
4,401695282,1,Bottom,Batter_42404,Pitcher_42584,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 0}]",At-bat 4016952820101: Pitch 1 : Ball In Play,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
5,401695282,1,Bottom,Batter_41355,Pitcher_42584,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Hit By Pitch', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 2, 'strikes': 2}]",At-bat 4016952820102: ,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
6,401695282,1,Bottom,Batter_40767,Pitcher_42584,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 2, 'strikes': 3}]",At-bat 4016952820103: ,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
7,401695282,1,Bottom,Batter_35066,Pitcher_42584,Pitch 5 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 0, 'strikes': 2}, {'pitch_number': 5, 'result': 'Single', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 0, 'strikes': 2}]",At-bat 4016952820104: Pitch 5 : Ball In Play,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
8,401695282,1,End,Batter_36040,Pitcher_42584,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 0, 'strikes': 1}]",At-bat 4016952820105: Pitch 2 : Ball In Play,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
9,401695282,2,Top,Batter_4905921,Pitcher_39878,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 1, 'strikes': 2}]",At-bat 4016952820201: Pitch 4 : Ball In Play,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
10,401695282,2,Top,Batter_42416,Pitcher_39878,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Cutter', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 89, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 94, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 94, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Swinging', 'pitch_type': 'Cutter', 'velocity': 95, 'balls': 3, 'strikes': 3}]",At-bat 4016952820202: ,401695282,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695282,2025-08-06T16:10:25.620429,TB,ARI
