play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695117,1,Top,Batter_38904,Pitcher_4142423,Pitch 1 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Double', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 0}]",At-bat 4016951170001: Pitch 1 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
2,401695117,1,Top,Batter_35002,Pitcher_4142423,Pitch 2 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Double', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 0, 'strikes': 1}]",At-bat 4016951170002: Pitch 2 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
3,401695117,1,Top,Batter_36084,Pitcher_4142423,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Splitter', 'velocity': 88, 'balls': 2, 'strikes': 1}]",At-bat 4016951170003: Pitch 4 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
4,401695117,1,Top,Batter_37729,Pitcher_4142423,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 77, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Splitter', 'velocity': 86, 'balls': 2, 'strikes': 1}]",At-bat 4016951170004: Pitch 4 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
5,401695117,1,Top,Batter_32078,Pitcher_4142423,Pitch 4 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Pop Out', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 2, 'strikes': 1}]",At-bat 4016951170005: Pitch 4 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
6,401695117,1,Mid,Batter_4413898,Pitcher_4142423,Pitch 10 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Splitter', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Splitter', 'velocity': 87, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Splitter', 'velocity': 88, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 3, 'strikes': 2}, {'pitch_number': 8, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 2}, {'pitch_number': 9, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 3, 'strikes': 2}, {'pitch_number': 10, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 3, 'strikes': 2}]",At-bat 4016951170006: Pitch 10 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
7,401695117,1,Bottom,Batter_42507,Pitcher_4734325,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 0}]",At-bat 4016951170101: Pitch 3 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
8,401695117,1,Bottom,Batter_42178,Pitcher_4734325,Pitch 4 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 2}]",At-bat 4016951170102: Pitch 4 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
9,401695117,1,End,Batter_35183,Pitcher_4734325,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 73, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 73, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}]",At-bat 4016951170103: Pitch 3 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
10,401695117,2,Top,Batter_42081,Pitcher_4142423,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 1}]",At-bat 4016951170201: Pitch 2 : Ball In Play,401695117,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695117,2025-08-06T15:52:53.782718,TOR,BAL
