play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401696614,1,Top,Batter_35682,Pitcher_5016983,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 1, 'strikes': 0}]",At-bat 4016966140001: Pitch 2 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
2,401696614,1,Top,Batter_38904,Pitcher_5016983,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Curve', 'velocity': 82, 'balls': 1, 'strikes': 1}]",At-bat 4016966140002: Pitch 3 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
3,401696614,1,Mid,Batter_35002,Pitcher_5016983,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 0}]",At-bat 4016966140003: Pitch 2 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
4,401696614,1,Bottom,Batter_40958,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 3}]",At-bat 4016966140101: ,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
5,401696614,1,Bottom,Batter_4905919,Pitcher_32811,Pitch 2 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slurve', 'velocity': 83, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Double', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}]",At-bat 4016966140102: Pitch 2 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
6,401696614,1,Bottom,Batter_4416591,Pitcher_32811,Pitch 1 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Home Run', 'pitch_type': 'Slurve', 'velocity': 83, 'balls': 0, 'strikes': 0}]",At-bat 4016966140103: Pitch 1 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
7,401696614,1,Bottom,Batter_4619460,Pitcher_32811,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 0}]",At-bat 4016966140104: Pitch 2 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
8,401696614,1,End,Batter_36181,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 3}]",At-bat 4016966140105: ,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
9,401696614,2,Top,Batter_4997589,Pitcher_5016983,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 82, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 3}]",At-bat 4016966140201: ,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
10,401696614,2,Top,Batter_42081,Pitcher_5016983,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 1}]",At-bat 4016966140202: Pitch 3 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
11,401696614,2,Top,Batter_40963,Pitcher_5016983,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 0}]",At-bat 4016966140203: Pitch 2 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
12,401696614,2,Mid,Batter_41287,Pitcher_5016983,Pitch 3 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Line Out', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 0}]",At-bat 4016966140204: Pitch 3 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
13,401696614,2,Bottom,Batter_4917759,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Slurve', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 2, 'strikes': 3}]",At-bat 4016966140301: ,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
14,401696614,2,Bottom,Batter_36485,Pitcher_32811,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 0}]",At-bat 4016966140302: Pitch 2 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
15,401696614,2,End,Batter_42462,Pitcher_32811,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 0, 'strikes': 1}]",At-bat 4016966140303: Pitch 2 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
16,401696614,3,Top,Batter_4297976,Pitcher_5016983,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 83, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 3, 'strikes': 3}]",At-bat 4016966140401: ,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
17,401696614,3,Top,Batter_35591,Pitcher_5016983,Pitch 6 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 84, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Curve', 'velocity': 82, 'balls': 2, 'strikes': 2}]",At-bat 4016966140402: Pitch 6 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
18,401696614,3,Top,Batter_35682,Pitcher_5016983,Pitch 7 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 3, 'strikes': 2}]",At-bat 4016966140403: Pitch 7 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
19,401696614,3,Mid,Batter_38904,Pitcher_5016983,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}]",At-bat 4016966140404: Pitch 3 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
20,401696614,3,Bottom,Batter_32530,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Batter Reached On Error - Batter To First', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 2, 'strikes': 0}]",At-bat 4016966140501: ,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
21,401696614,3,Bottom,Batter_40958,Pitcher_32811,Pitch 3 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Fly Out', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 1}]",At-bat 4016966140502: Pitch 3 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
22,401696614,3,Bottom,Batter_4905919,Pitcher_32811,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 0}]",At-bat 4016966140503: Pitch 1 : Ball In Play,401696614,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401696614,2025-08-06T16:32:01.033726,TOR,COL
