play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695462,1,Top,Batter_38904,Pitcher_41415,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 1, 'strikes': 3}]",At-bat 4016954620001: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
2,401695462,1,Top,Batter_35002,Pitcher_41415,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 2, 'strikes': 1}]",At-bat 4016954620002: Pitch 4 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
3,401695462,1,Top,Batter_36084,Pitcher_41415,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 1}]",At-bat 4016954620003: Pitch 3 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
4,401695462,1,Mid,Batter_32078,Pitcher_41415,Pitch 6 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 1, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 2}]",At-bat 4016954620004: Pitch 6 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
5,401695462,1,Bottom,Batter_4666100,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 4, 'strikes': 1}]",At-bat 4016954620101: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
6,401695462,1,Bottom,Batter_4739755,Pitcher_32811,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 0, 'strikes': 0}]",At-bat 4016954620102: Pitch 1 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
7,401695462,1,Bottom,Batter_34923,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slurve', 'velocity': 82, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 82, 'balls': 0, 'strikes': 3}]",At-bat 4016954620103: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
8,401695462,1,Bottom,Batter_32558,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Slurve', 'velocity': 82, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 0, 'strikes': 3}]",At-bat 4016954620104: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
9,401695462,1,End,Batter_42047,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slurve', 'velocity': 82, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 2, 'strikes': 2}]",At-bat 4016954620105: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
10,401695462,2,Top,Batter_42081,Pitcher_41415,Pitch 5 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Line Out', 'pitch_type': 'Curve', 'velocity': 84, 'balls': 1, 'strikes': 2}]",At-bat 4016954620201: Pitch 5 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
11,401695462,2,Top,Batter_41287,Pitcher_41415,Pitch 3 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Line Out', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 0, 'strikes': 2}]",At-bat 4016954620202: Pitch 3 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
12,401695462,2,Mid,Batter_37729,Pitcher_41415,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 0, 'strikes': 1}]",At-bat 4016954620203: Pitch 2 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
13,401695462,2,Bottom,Batter_42047,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 80, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Slurve', 'velocity': 80, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Slurve', 'velocity': 84, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 83, 'balls': 3, 'strikes': 3}]",At-bat 4016954620301: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
14,401695462,2,Bottom,Batter_33984,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slurve', 'velocity': 82, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 3}]",At-bat 4016954620302: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
15,401695462,2,End,Batter_29951,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 82, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 82, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 83, 'balls': 2, 'strikes': 3}]",At-bat 4016954620303: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
16,401695462,3,Top,Batter_39105,Pitcher_41415,Pitch 7 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 7, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 2}]",At-bat 4016954620401: Pitch 7 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
17,401695462,3,Top,Batter_4918159,Pitcher_41415,Pitch 7 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Bunted Foul', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 1, 'strikes': 2}, {'pitch_number': 7, 'result': 'Line Out', 'pitch_type': 'Curve', 'velocity': 83, 'balls': 1, 'strikes': 2}]",At-bat 4016954620402: Pitch 7 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
18,401695462,3,Top,Batter_38904,Pitcher_41415,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}]",At-bat 4016954620403: Pitch 2 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
19,401695462,3,Mid,Batter_36084,Pitcher_41415,Pitch 10 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 7, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 2, 'strikes': 2}, {'pitch_number': 8, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 3, 'strikes': 2}, {'pitch_number': 9, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 3, 'strikes': 2}, {'pitch_number': 10, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 3, 'strikes': 2}]",At-bat 4016954620405: Pitch 10 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
20,401695462,3,Bottom,Batter_37237,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Slurve', 'velocity': 83, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 3}]",At-bat 4016954620501: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
21,401695462,3,Bottom,Batter_42536,Pitcher_32811,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 0, 'strikes': 1}]",At-bat 4016954620502: Pitch 2 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
22,401695462,3,Bottom,Batter_4666100,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Hit By Pitch', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 0}]",At-bat 4016954620503: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
23,401695462,3,Bottom,Batter_4739755,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Slurve', 'velocity': 80, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 4, 'strikes': 1}]",At-bat 4016954620504: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
24,401695462,3,End,Batter_34923,Pitcher_32811,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 0, 'strikes': 0}]",At-bat 4016954620505: Pitch 1 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
25,401695462,4,Top,Batter_32078,Pitcher_41415,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 3}]",At-bat 4016954620601: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
26,401695462,4,Top,Batter_42081,Pitcher_41415,,Other,"[{'pitch_number': 1, 'result': 'Foul Out', 'pitch_type': 'Slider', 'velocity': 88, 'balls': 0, 'strikes': 0}]",At-bat 4016954620602: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
27,401695462,4,Mid,Batter_41287,Pitcher_41415,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 89, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 3}]",At-bat 4016954620603: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
28,401695462,4,Bottom,Batter_32558,Pitcher_32811,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slurve', 'velocity': 82, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Strike Looking', 'pitch_type': 'Slurve', 'velocity': 83, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 4, 'strikes': 2}]",At-bat 4016954620701: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
29,401695462,4,Bottom,Batter_42047,Pitcher_32811,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Slurve', 'velocity': 83, 'balls': 0, 'strikes': 2}]",At-bat 4016954620702: Pitch 4 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
30,401695462,4,Bottom,Batter_33984,Pitcher_32811,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 0}]",At-bat 4016954620703: Pitch 1 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
31,401695462,4,End,Batter_29951,Pitcher_32811,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Slurve', 'velocity': 81, 'balls': 0, 'strikes': 0}]",At-bat 4016954620704: Pitch 1 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
32,401695462,5,Top,Batter_37729,Pitcher_41415,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 1, 'strikes': 0}]",At-bat 4016954620801: Pitch 2 : Ball In Play,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
33,401695462,5,Top,Batter_39105,Pitcher_41415,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 87, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 3}]",At-bat 4016954620802: ,401695462,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695462,2025-08-06T17:30:59.446808,TOR,LAA
