play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695854,1,Top,Batter_38904,Pitcher_3107919,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 89, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 77, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 1, 'strikes': 3}]",At-bat 4016958540001: ,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
2,401695854,1,Top,Batter_35002,Pitcher_3107919,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 79, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 1}]",At-bat 4016958540002: Pitch 3 : Ball In Play,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
3,401695854,1,Mid,Batter_4997589,Pitcher_3107919,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 0, 'strikes': 0}]",At-bat 4016958540003: Pitch 1 : Ball In Play,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
4,401695854,1,Bottom,Batter_32655,Pitcher_4313208,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Out', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 2, 'strikes': 0}]",At-bat 4016958540101: ,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
5,401695854,1,Bottom,Batter_41205,Pitcher_4313208,Pitch 3 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 89, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 2, 'strikes': 0}]",At-bat 4016958540102: Pitch 3 : Ball In Play,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
6,401695854,1,Bottom,Batter_35591,Pitcher_4313208,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Cutter', 'velocity': 90, 'balls': 0, 'strikes': 0}]",At-bat 4016958540103: Pitch 1 : Ball In Play,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
7,401695854,1,End,Batter_42427,Pitcher_4313208,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 86, 'balls': 1, 'strikes': 1}]",At-bat 4016958540104: Pitch 3 : Ball In Play,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
8,401695854,2,Top,Batter_42081,Pitcher_3107919,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Sinker', 'velocity': 89, 'balls': 0, 'strikes': 0}]",At-bat 4016958540201: Pitch 1 : Ball In Play,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
9,401695854,2,Top,Batter_32078,Pitcher_3107919,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 0, 'strikes': 1}]",At-bat 4016958540202: Pitch 2 : Ball In Play,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
10,401695854,2,Mid,Batter_35682,Pitcher_3107919,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 2}]",At-bat 4016958540203: Pitch 5 : Ball In Play,401695854,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695854,2025-08-06T16:41:14.218239,TOR,MIN
