play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401694965,1,Top,Batter_42402,Pitcher_4734325,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 0}]",At-bat 4016949650001: Pitch 1 : Ball In Play,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
2,401694965,1,Top,Batter_4918256,Pitcher_4734325,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 74, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Splitter', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 4, 'strikes': 2}]",At-bat 4016949650002: ,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
3,401694965,1,Top,Batter_38827,Pitcher_4734325,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Splitter', 'velocity': 81, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Splitter', 'velocity': 83, 'balls': 1, 'strikes': 2}]",At-bat 4016949650003: Pitch 4 : Ball In Play,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
4,401694965,1,Mid,Batter_40538,Pitcher_4734325,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 72, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 81, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Splitter', 'velocity': 82, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Splitter', 'velocity': 84, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Looking', 'pitch_type': 'Splitter', 'velocity': 85, 'balls': 2, 'strikes': 3}]",At-bat 4016949650004: ,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
5,401694965,1,Bottom,Batter_38904,Pitcher_34984,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Slider', 'velocity': 82, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 94, 'balls': 2, 'strikes': 1}]",At-bat 4016949650101: Pitch 4 : Ball In Play,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
6,401694965,1,Bottom,Batter_35002,Pitcher_34984,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 82, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Slider', 'velocity': 79, 'balls': 0, 'strikes': 2}]",At-bat 4016949650102: Pitch 4 : Ball In Play,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
7,401694965,1,End,Batter_36084,Pitcher_34984,Pitch 4 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Line Out', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 1, 'strikes': 2}]",At-bat 4016949650103: Pitch 4 : Ball In Play,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
8,401694965,2,Top,Batter_32517,Pitcher_4734325,Pitch 3 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Fly Out', 'pitch_type': 'Splitter', 'velocity': 83, 'balls': 0, 'strikes': 2}]",At-bat 4016949650201: Pitch 3 : Ball In Play,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
9,401694965,2,Top,Batter_40459,Pitcher_4734325,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}]",At-bat 4016949650202: Pitch 2 : Ball In Play,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
10,401694965,2,Mid,Batter_35185,Pitcher_4734325,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 75, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Splitter', 'velocity': 82, 'balls': 1, 'strikes': 3}]",At-bat 4016949650203: ,401694965,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401694965,2025-08-06T16:50:48.519914,WSH,TOR
