"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","366","13.1",36.3,"107.8","85.6","93","87.2","84.5","402","156","365","57",15.6,"3",0.8,0.8
"Kwan, Steven","680757","334","13.5",38.3,"104.1","86.1","94.6","87.9","84.1","406","165","377","69",20.7,"7",2.1,1.7
"Bichette, Bo","666182","329","8.9",38,"112.3","91.1","102.3","95.3","88.3","418","165","395","162",49.2,"32",9.7,7.5
"Hoerner, Nico","663538","327","13.9",33.3,"104.7","86.8","96.1","88.6","86.9","385","155","366","90",27.5,"8",2.4,2.1
"Turner, Trea","607208","323","10.4",35.6,"111.7","89.3","99.9","92","87.6","426","163","396","132",41,"22",6.8,5.2
"Díaz, Yandy","650490","321","5.6",29.9,"114","93.2","105.3","97.5","91.2","435","146","386","170",53.5,"32",10,7.8
"Chourio, Jackson","694192","320","11.8",34.1,"110.3","87.9","100.2","94.5","82.6","448","166","399","122",38.5,"24",7.5,5.6
"Wilson, Jacob","805779","318","7.9",31.8,"108.5","85.4","95.3","87.3","84.8","420","132","385","81",25.6,"7",2.2,1.9
"Lindor, Francisco","596019","316","14.7",31.3,"109.7","89.9","100.5","94.4","86.1","425","169","394","137",43.6,"27",8.5,6.2
"Perdomo, Geraldo","672695","316","14.4",36.1,"108.2","88.1","97.4","91.4","86.3","406","168","388","102",32.7,"19",6,4.4
"Betts, Mookie","605141","313","18.7",35.1,"107.2","88.5","97.8","91.3","84.9","412","189","390","110",35.4,"18",5.8,4.6
"Witt Jr., Bobby","677951","312","14.8",38.5,"115.7","93.4","104.2","97","90.2","442","188","406","156",50.2,"42",13.5,9.9
"Gurriel Jr., Lourdes","666971","310","16.2",37.1,"109.1","88.3","99","92.9","84.1","416","182","400","119",38.9,"21",6.8,5.4
"Ramírez, José","608070","310","20.8",36.8,"111.6","89.4","99.6","92.7","88.8","420","188","380","123",39.7,"24",7.7,6.1
"Lee, Jung Hoo","808982","309","13",34.6,"105.4","87.4","97","89.8","86.3","413","164","381","94",30.5,"13",4.2,3.3
"Machado, Manny","592518","308","14.8",35.1,"114.8","92.7","103.6","97","90","440","176","391","157",51.1,"41",13.3,9.9
"Albies, Ozzie","645277","308","20.1",33.4,"109.9","87.3","96.7","90.5","85.3","413","172","375","91",29.6,"12",3.9,2.9
"Pasquantino, Vinnie","686469","307","15.9",30.9,"114.4","90.8","101.4","94","89.1","448","171","396","136",44.4,"26",8.5,6.4
"Garcia, Maikel","672580","306","9.4",34.3,"110.3","91.3","101.6","93.8","90.8","428","160","401","136",44.6,"18",5.9,4.6
"Schanuel, Nolan","694384","304","13.6",38.2,"109.8","87.3","96.7","91.1","83.8","418","168","395","86",28.4,"16",5.3,4
"Tucker, Kyle","663656","302","19",38.7,"108.7","90.6","100.2","93.9","85.8","427","198","393","128",42.4,"38",12.6,8.9
