"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Adames, Willy",642715,"SF","FF","4-Seam Fastball",0,0,"474",36.2,"128","0.23","0.434","0.327",14.7,10.9,11.4,"0.263","0.563","0.379",52
"Friedl, TJ",670770,"CIN","FF","4-Seam Fastball",1.5,7,"488",38.8,"124","0.343","0.505","0.42",5.8,5.6,6.9,"0.295","0.405","0.358",31.3
"Devers, Rafael",646240,"SF","FF","4-Seam Fastball",1,6,"617",42.3,"124","0.279","0.529","0.399",36,24.2,15.5,"0.287","0.589","0.421",59.5
"Perdomo, Geraldo",672695,"AZ","FF","4-Seam Fastball",0.9,6,"589",43.6,"119","0.253","0.432","0.361",8.7,8.4,6.9,"0.257","0.429","0.357",29.2
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",0.4,2,"488",37,"117","0.265","0.471","0.356",26.7,25.6,23.3,"0.281","0.478","0.381",57.5
"Crawford, J.P.",641487,"SEA","FF","4-Seam Fastball",0.4,2,"522",40.3,"116","0.247","0.341","0.368",22.1,18.1,13.7,"0.248","0.367","0.379",27.7
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",-0.2,-1,"517",38.2,"116","0.237","0.443","0.345",17.3,13.8,11.3,"0.271","0.505","0.383",53.7
"Larnach, Trevor",663616,"MIN","FF","4-Seam Fastball",-0.4,-1,"357",31.5,"115","0.231","0.444","0.313",17.8,15.7,19.8,"0.302","0.529","0.369",45.1
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",-0.1,0,"531",41.7,"114","0.202","0.315","0.317",17.8,22.8,18.2,"0.217","0.349","0.331",45.5
"Tucker, Kyle",663656,"CHC","FF","4-Seam Fastball",2.2,9,"423",33.6,"113","0.256","0.5","0.404",13.2,9.7,11.3,"0.29","0.654","0.456",50.6
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",0.1,0,"430",39.7,"113","0.308","0.471","0.352",4.4,2.7,2.9,"0.256","0.312","0.274",14.6
"Flores, Wilmer",527038,"SF","FF","4-Seam Fastball",0.2,1,"421",34.2,"113","0.262","0.447","0.346",14.3,13.3,10.7,"0.23","0.371","0.296",25
"Edwards, Xavier",669364,"MIA","FF","4-Seam Fastball",-0.7,-3,"410",42.4,"112","0.28","0.355","0.346",8.5,13.4,15.5,"0.276","0.351","0.34",41.8
"Stott, Bryson",681082,"PHI","FF","4-Seam Fastball",0.1,0,"557",43.2,"111","0.281","0.458","0.37",16.9,18.9,11.6,"0.262","0.435","0.345",35.5
"Yastrzemski, Mike",573262,"SF","FF","4-Seam Fastball",-1.4,-6,"438",41.8,"111","0.204","0.306","0.27",22.7,27,24.2,"0.201","0.379","0.292",43.5
"Santana, Carlos",467793,"CLE","FF","4-Seam Fastball",-0.5,-2,"368",30.8,"110","0.235","0.316","0.301",16.4,11.8,12.9,"0.233","0.411","0.313",38.4
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",1.8,8,"436",33.6,"110","0.24","0.563","0.388",20.7,23.6,18.6,"0.246","0.549","0.38",47.1
"India, Jonathan",663697,"KC","FF","4-Seam Fastball",-0.8,-4,"429",34.7,"110","0.232","0.347","0.305",14.6,11.8,9.3,"0.292","0.491","0.382",41
"Butler, Lawrence",671732,"ATH","FF","4-Seam Fastball",1.6,6,"397",30.9,"108","0.298","0.532","0.397",27.9,23.1,20.7,"0.264","0.484","0.366",49.3
"Lee, Jung Hoo",808982,"SF","FF","4-Seam Fastball",-1.1,-5,"422",35.4,"108","0.237","0.34","0.296",7.3,9.3,8.9,"0.322","0.453","0.372",32.2
"Gurriel Jr., Lourdes",666971,"AZ","FF","4-Seam Fastball",-0.4,-2,"361",34.2,"108","0.247","0.392","0.313",11.9,9.3,10.2,"0.257","0.412","0.318",39.3
"Nootbaar, Lars",663457,"STL","FF","4-Seam Fastball",0.4,2,"425",31.6,"108","0.242","0.374","0.334",9.5,15.7,16.7,"0.268","0.47","0.374",54.1
