"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Severino, Luis","622663","378","13.5",34.7,"112.4","88.7","76.4","92.6","85.9","455","166","407","164",43.4,"22",5.8,4.3
"Irvin, Jake","663623","369","13.5",33.1,"111.8","90.6","79.5","94.4","87.5","464","173","395","175",47.4,"47",12.7,9.5
"Keller, Mitch","656605","368","12",31.8,"114.1","90.2","80.1","93.8","88.8","445","160","398","155",42.1,"25",6.8,5.1
"Littell, Zack","641793","360","14.1",32.2,"114.5","90.9","81.1","94.5","88.3","420","170","390","153",42.5,"42",11.7,9.1
"Senzatela, Antonio","622608","353","9.1",36.3,"112","90.7","79.2","94.3","87.3","434","165","411","164",46.5,"32",9.1,7.3
"Martinez, Nick","607259","350","17.2",36.9,"111.4","88.7","78.6","91.5","87.8","432","175","401","127",36.3,"26",7.4,5.7
"Webb, Logan","657277","343","6.3",34.7,"116.8","89.2","78","93.1","86.6","423","139","391","131",38.2,"27",7.9,5.3
"Fried, Max","608331","342","8",30.4,"112.5","87.5","75.6","92.1","85","429","144","405","129",37.7,"23",6.7,4.7
"Parker, Mitchell","680730","340","15.8",35.3,"113.8","91.9","82.1","94.3","90.8","466","180","407","169",49.7,"30",8.8,6.7
"Kremer, Dean","665152","338","16",34.9,"110.7","88.7","77.5","93.9","84.5","429","177","405","122",37.2,"27",8,5.9
"Gallen, Zac","668678","338","13.1",36.1,"112","91","80.5","94.6","86.4","467","178","399","158",46.7,"40",11.8,8.1
"Sugano, Tomoyuki","608372","337","14.2",38.9,"116.3","89.5","79.1","93.9","86.5","433","171","399","128",38,"38",11.3,9
"Springs, Jeffrey","605488","334","19.1",37.1,"112.9","88.3","77.3","93.2","82.2","452","197","397","123",36.8,"29",8.7,6.3
"Berríos, José","621244","333","16.2",32.4,"118.1","90.2","79.5","94.5","87.3","436","169","402","140",42,"37",11.1,7.8
"Márquez, Germán","608566","330","15.1",36.4,"112.7","91","80.8","94.3","88.1","456","181","407","154",46.7,"29",8.8,6.6
"Soriano, José","667755","330","-3.1",24.5,"112.7","91.4","80.1","96.2","89.7","420","103","407","156",47.3,"23",7,4.7
"Paddack, Chris","663978","329","16.6",35,"112.9","89.8","79","94.2","88.2","418","173","392","144",43.8,"25",7.6,5.9
"Wacha, Michael","608379","329","16.3",38.9,"110.7","87","75.6","91.8","83.2","430","169","402","108",32.8,"24",7.3,5.3
"Pallante, Andre","669467","327","-1.3",26.9,"119.4","89.6","77.8","94.5","86.9","448","118","395","140",42.8,"24",7.3,5.6
"Fedde, Erick","607200","324","15.8",35.8,"113.2","91","81.3","93.4","90.2","422","173","394","143",44.1,"29",9,6.7
"Anderson, Tyler","542881","324","20",42.6,"116.1","87.8","76.4","92.5","81.8","440","193","404","112",34.6,"30",9.3,6.7
"Castillo, Luis","622491","322","13.8",35.7,"115.2","90.1","78.9","93.9","86.6","445","173","396","147",45.7,"36",11.2,8
"Bassitt, Chris","605135","322","10.8",32.6,"116.7","86.6","74.3","92.2","83.6","417","149","391","110",34.2,"24",7.5,5.2
