Name,Team,Type,GamesAppeared,LastSeen,DropReason
"A. Gimenez","TOR","hitter","0","Never","Never appeared"
"A. Munoz","SEA","pitcher","0","Never","Never appeared"
"A. Ottavino","NYY","pitcher","0","Never","Never appeared"
"A. Ramirez","MIA","hitter","0","Never","Never appeared"
"B. Cook","PIT","hitter","0","Never","Never appeared"
"B. Cruz","ATL","hitter","0","Never","Never appeared"
"B. Hoeing","SD","pitcher","0","Never","Never appeared"
"B. Kennedy","PHI","hitter","0","Never","Never appeared"
"B. Kriske","CHC","pitcher","0","Never","Never appeared"
"B. Sullivan","PIT","hitter","0","Never","Never appeared"
"C. Alexander","OAK","hitter","0","Never","Never appeared"
"C. Burns","CIN","pitcher","0","Never","Never appeared"
"C. Duran","OAK","pitcher","0","Never","Never appeared"
"C. Estevez","KC","pitcher","0","Never","Never appeared"
"C. Hernandez","DET","pitcher","0","Never","Never appeared"
"C. Heuer","TEX","pitcher","0","Never","Never appeared"
"C. Kimbrel","ATL","pitcher","0","Never","Never appeared"
"C. McCusker","MIN","hitter","0","Never","Never appeared"
"C. Narvaez","BOS","hitter","0","Never","Never appeared"
"C. Oca","ARI","pitcher","0","Never","Never appeared"
"C. Perez","BAL","pitcher","0","Never","Never appeared"
"C. Phillips","CIN","pitcher","0","Never","Never appeared"
"C. Rodon","NYY","pitcher","0","Never","Never appeared"
"C. Salazar","HOU","hitter","0","Never","Never appeared"
"C. Sanchez","PHI","pitcher","0","Never","Never appeared"
"C. Vazquez","MIN","hitter","0","Never","Never appeared"
"D. Blanco","KC","hitter","0","Never","Never appeared"
"D. Hernandez","ATL","pitcher","0","Never","Never appeared"
"D. Keirsey Jr.","MIN","hitter","0","Never","Never appeared"
"D. Lynch","KC","pitcher","0","Never","Never appeared"
"D. Nunez","NYM","pitcher","0","Never","Never appeared"
"D. Nunez","CLE","hitter","0","Never","Never appeared"
"D. Robert","PHI","pitcher","0","Never","Never appeared"
"E. Diaz","SD","hitter","0","Never","Never appeared"
"E. Pagan","CIN","pitcher","0","Never","Never appeared"
"E. Rodriguez","PIT","hitter","0","Never","Never appeared"
"E. Rosario","ATL","hitter","0","Never","Never appeared"
"E. Rosario","LAD","hitter","0","Never","Never appeared"
"E. Suarez","ARI","hitter","0","Never","Never appeared"
"F. Montas","NYM","pitcher","0","Never","Never appeared"
"F. Tarnok","MIA","pitcher","0","Never","Never appeared"
"G. Jones","CHW","hitter","0","Never","Never appeared"
"G. Marquez","COL","pitcher","0","Never","Never appeared"
"G. Sanchez","BAL","pitcher","0","Never","Never appeared"
"H. Brazoban","NYM","pitcher","0","Never","Never appeared"
"H. Feduccia","LAD","hitter","0","Never","Never appeared"
"I. Seymour","TB","pitcher","0","Never","Never appeared"
"J. Adams","BAL","hitter","0","Never","Never appeared"
"J. Baez","DET","hitter","0","Never","Never appeared"
"J. Brubaker","NYY","pitcher","0","Never","Never appeared"
"J. Butto","NYM","pitcher","0","Never","Never appeared"
"J. Diaz","SEA","pitcher","0","Never","Never appeared"
"J. Dominguez","NYY","hitter","0","Never","Never appeared"
"J. Foscue","TEX","hitter","0","Never","Never appeared"
"J. Loaisiga","NYY","pitcher","0","Never","Never appeared"
"J. Ornelas","TEX","hitter","0","Never","Never appeared"
"J. Palisch","CHW","pitcher","0","Never","Never appeared"
"J. Pena","HOU","hitter","0","Never","Never appeared"
"J. Rodriguez","CLE","hitter","0","Never","Never appeared"
"J. Rodriguez","SEA","hitter","0","Never","Never appeared"
"J. Sorsa","CIN","pitcher","0","Never","Never appeared"
"J. Urena","TOR","pitcher","0","Never","Never appeared"
"J. Urena","NYM","pitcher","0","Never","Never appeared"
"J. Urena","LAD","pitcher","0","Never","Never appeared"
"J. Winkler","MIA","hitter","0","Never","Never appeared"
"K. Strowd","BAL","pitcher","0","Never","Never appeared"
"L. Acuna","NYM","hitter","0","Never","Never appeared"
"L. Garcia","LAD","pitcher","0","Never","Never appeared"
"L. Garcia Jr.","ARI","hitter","0","Never","Never appeared"
"L. Jr.","HOU","pitcher","0","Never","Never appeared"
"L. Jr.","LAA","hitter","0","Never","Never appeared"
"L. Little","CHC","pitcher","0","Never","Never appeared"
"L. Porter","SF","hitter","0","Never","Never appeared"
"L. Urias","OAK","hitter","0","Never","Never appeared"
"L. Vazquez","BAL","hitter","0","Never","Never appeared"
"M. Dubon","HOU","hitter","0","Never","Never appeared"
"M. Harris","ATL","hitter","0","Never","Never appeared"
"M. Melendez","KC","hitter","0","Never","Never appeared"
"M. Otanez","OAK","pitcher","0","Never","Never appeared"
"M. Perez","CHW","pitcher","0","Never","Never appeared"
"N. Cortes","MIL","pitcher","0","Never","Never appeared"
"N. Eaton","BOS","hitter","0","Never","Never appeared"
"N. Kavadas","LAA","hitter","0","Never","Never appeared"
"N. Nunez","WSH","hitter","0","Never","Never appeared"
"O. Narvaez","CHW","hitter","0","Never","Never appeared"
"P. Gervase","TB","pitcher","0","Never","Never appeared"
"P. Lopez","MIN","pitcher","0","Never","Never appeared"
"P. Pages","STL","hitter","0","Never","Never appeared"
"R. Fitzgerald","MIN","hitter","0","Never","Never appeared"
"R. Hassell","WSH","hitter","0","Never","Never appeared"
"R. Lopez","ATL","pitcher","0","Never","Never appeared"
"R. Marchan","PHI","hitter","0","Never","Never appeared"
"R. Munoz","STL","pitcher","0","Never","Never appeared"
"R. Palacios","TB","hitter","0","Never","Never appeared"
"R. Pina","MIA","pitcher","0","Never","Never appeared"
"R. Rodriguez","SF","pitcher","0","Never","Never appeared"
"R. Stephenson","LAA","pitcher","0","Never","Never appeared"
"R. Urias","BAL","hitter","0","Never","Never appeared"
"S. Dominguez","BAL","pitcher","0","Never","Never appeared"
"S. Effross","NYY","pitcher","0","Never","Never appeared"
"S. Johnson","PHI","pitcher","0","Never","Never appeared"
"S. Taylor","SEA","hitter","0","Never","Never appeared"
"S. Whitcomb","HOU","hitter","0","Never","Never appeared"
"T. Brooks","SD","hitter","0","Never","Never appeared"
"T. Callihan","CIN","hitter","0","Never","Never appeared"
"T. Cheng","PIT","hitter","0","Never","Never appeared"
"T. Harrington","PIT","pitcher","0","Never","Never appeared"
"T. Owens","DET","hitter","0","Never","Never appeared"
"T. Tolbert","KC","hitter","0","Never","Never appeared"
"T. Zuber","NYM","pitcher","0","Never","Never appeared"
"V. Brujan","CHC","hitter","0","Never","Never appeared"
"V. Jr.","MIA","hitter","0","Never","Never appeared"
"V. Scott","STL","hitter","0","Never","Never appeared"
"W. Gonzalez","CHW","pitcher","0","Never","Never appeared"
"W. Klein","LAD","pitcher","0","Never","Never appeared"
"W. Perez","DET","hitter","0","Never","Never appeared"
"Y. Garcia","TOR","pitcher","0","Never","Never appeared"
"Y. Gomez","LAD","pitcher","0","Never","Never appeared"
"Y. Gomez","CHW","pitcher","0","Never","Never appeared"
"Y. Hiraldo","BAL","pitcher","0","Never","Never appeared"
"Y. Santos","NYY","pitcher","0","Never","Never appeared"
"Y. Zulueta","CIN","pitcher","0","Never","Never appeared"
